,Season,Playoffs,Median Goals For,Median Shots,Median PIM,Mean Age,Median Team +/-,Median Sum OPS,Median Sum DPS,Median Highest Scorer PTS,Median Highest A,Median Highest G,GP
0,2006,0,233,2376,1387,27.1,-120,32.3,31.5,75,47,32,82
1,2006,1,253,2476,1182,27.6,73,40.05,41.95,87,55,38,82
2,2007,0,218,2365,1216,27.0,-142,31.25,31.950000000000003,75,47,30,82
3,2007,1,247,2417,1099,27.5,79,41.95,44.099999999999994,94,58,36,82
4,2008,0,215,2367,1108,26.8,-82,34.45,32.25,76,47,35,82
5,2008,1,226,2360,1079,27.6,54,39.8,39.2,83,54,32,82
6,2009,0,213,2371,1109,26.8,-100,30.05,32.900000000000006,66,46,31,82
7,2009,1,247,2562,1152,27.2,82,43.6,39.8,85,53,37,82
8,2010,0,214,2405,1070,26.9,-111,33.15,29.799999999999997,68,41,30,82
9,2010,1,231,2561,924,27.0,47,39.95,40.75,75,47,30,82
10,2011,0,215,2401,1010,26.4,-135,35.150000000000006,31.75,63,40,31,82
11,2011,1,237,2603,935,27.1,101,43.8,42.6,73,48,32,82
12,2012,0,205,2331,895,26.4,-130,33.2,32.35,68,44,33,82
13,2012,1,227,2543,892,27.1,84,41.8,41.75,76,50,32,82
14,2013,0,208,2306,909,26.9,-108,34.254999999999995,29.634999999999998,65,40,27,82
15,2013,1,219,2463,889,27.2,64,38.95,44.25,75,54,32,82
16,2014,0,207,2431,915,26.5,-109,33.349999999999994,31.45,64,41,26,82
17,2014,1,232,2473,869,27.2,86,43.9,42.35,69,45,31,82
18,2015,0,207,2405,758,26.7,-81,33.75,33.8,60,39,27,82
19,2015,1,231,2490,807,26.9,110,43.5,42.2,69,45,32,82
20,2016,0,210,2392,787,25.9,-137,34.25,30.0,60,39,29,82
21,2016,1,225,2487,723,26.9,53,40.7,42.3,68,46,33,82
22,2017,0,202,2466,768,26.2,-163,29.45,31.75,62,39,29,82
23,2017,1,239,2501,731,26.4,97,44.55,41.25,72,46,33,82
24,2018,0,223,2572,653,26.3,-136,31.5,33.2,65,47,29,82
25,2018,1,255,2640,686,26.5,115,43.95,41.0,86,55,37,82
26,2019,0,221,2488,676,26.1,-171,28.9,29.9,72,41,30,82
27,2019,1,257,2666,658,26.5,94,42.45,43.0,88,58,38,82
28,2020,0,210,2461,748,26.2,-148,26.24,32.8,57,39,29,82
29,2020,1,258,2604,640,26.6,40,43.760000000000005,39.555,81,56,33,82
30,2021,0,216,2379,629,26.0,-209,29.87,27.24,64,39,29,82
31,2021,1,263,2513,653,27.1,144,47.735,42.195,86,56,36,82
32,2022,0,227,2446,705,26.2,-259,28.15,29.65,67,43,31,82
33,2022,1,281,2794,696,27.1,160,47.25,42.2,94,60,41,82
34,2023,0,235,2414,707,26.5,-157,30.05,27.450000000000003,74,47,33,82
35,2023,1,276,2624,673,27.2,185,44.45,46.45,95,58,41,82
